ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00076,11, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00086,12, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00093,13, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00099,14, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00003,1, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00010,2, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00020,3, ,1,3,7,50.0595238095238,1, ,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00030,4, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00045,5, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00053,6, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
